|#    |name                     |IRI.                                                   |TripleCount    |
|1    |type                     |http://www.w3.org/1999/02/22-rdf-syntax-ns#type        |12298344       |
|2    |subject                  |http://purl.org/dc/terms/subject                       |4145977        |
|3    |label                    |http://www.w3.org/2000/01/rdf-schema#label             |3700914        |
|4    |wikiPageUsesTemplate     |http://es.dbpedia.org/property/wikiPageUsesTemplate    |3203262        |
|5    |wikiPageRevisionID       |http://dbpedia.org/ontology/wikiPageRevisionID         |2853682        |
|6    |wasDerivedFrom           |http://www.w3.org/ns/prov#wasDerivedFrom               |2853681        |
|7    |wikiPageID               |http://dbpedia.org/ontology/wikiPageID                 |2853633        |
|8    |primaryTopic             |http://xmlns.com/foaf/0.1/primaryTopic                 |2592725        |
|9    |wikiPageLength           |http://dbpedia.org/ontology/wikiPageLength             |2592587        |
|10   |isPrimaryTopicOf         |http://xmlns.com/foaf/0.1/isPrimaryTopicOf             |2592586        |
|11   |language                 |http://purl.org/dc/elements/1.1/language               |2592586        |
|12   |wikiPageExternalLink     |http://dbpedia.org/ontology/wikiPageExternalLink       |2541277        |
|13   |abstract                 |http://dbpedia.org/ontology/abstract                   |1666150        |
|14   |comment                  |http://www.w3.org/2000/01/rdf-schema#comment           |1666001        |
|15   |wikiPageRedirects        |http://dbpedia.org/ontology/wikiPageRedirects          |1510531        |
|16   |name                     |http://xmlns.com/foaf/0.1/name                         |1361009        |
|17   |depiction                |http://xmlns.com/foaf/0.1/depiction                    |917532         |
|18   |thumbnail                |http://dbpedia.org/ontology/thumbnail                  |917486         |
|19   |rights                   |http://purl.org/dc/elements/1.1/rights                 |748680         |
|20   |broader                  |http://www.w3.org/2004/02/skos/core#broader            |675380         |
|21   |country                  |http://dbpedia.org/ontology/country                    |544769         |
|22   |nombre                   |http://es.dbpedia.org/property/nombre                  |511566         |
|23   |postalCode               |http://dbpedia.org/ontology/postalCode                 |424008         |
|24   |thumbnail                |http://xmlns.com/foaf/0.1/thumbnail                    |374395         |
|25   |prefLabel                |http://www.w3.org/2004/02/skos/core#prefLabel          |365815         |
|26   |wikiPageDisambiguates    |http://dbpedia.org/ontology/wikiPageDisambiguates      |359119         |
|27   |class                    |http://dbpedia.org/ontology/class                      |341596         |
|28   |order                    |http://dbpedia.org/ontology/order                      |340834         |
|29   |nombre                   |http://dbpedia.org/property/nombre                     |337913         |
|30   |areaCode                 |http://dbpedia.org/ontology/areaCode                   |320052         |
|31   |point                    |http://www.georss.org/georss/point                     |303098         |
|32   |lat                      |http://www.w3.org/2003/01/geo/wgs84_pos#lat            |302515         |
|33   |long                     |http://www.w3.org/2003/01/geo/wgs84_pos#long           |302427         |
|34   |título                   |http://es.dbpedia.org/property/título                  |294088         |
|35   |family                   |http://dbpedia.org/ontology/family                     |283413         |
|36   |title                    |http://dbpedia.org/ontology/title                      |275857         |
|37   |timeZone                 |http://dbpedia.org/ontology/timeZone                   |259304         |
|38   |runtime                  |http://dbpedia.org/ontology/runtime                    |256977         |
|39   |runtime                  |http://dbpedia.org/ontology/Work/runtime               |256959         |
|40   |homepage                 |http://xmlns.com/foaf/0.1/homepage                     |236081         |
|41   |birthPlace               |http://dbpedia.org/ontology/birthPlace                 |228047         |
|42   |genre                    |http://dbpedia.org/ontology/genre                      |224815         |
|43   |kingdom                  |http://dbpedia.org/ontology/kingdom                    |220329         |
|44   |tipoSuperior             |http://es.dbpedia.org/property/tipoSuperior            |219392         |
|45   |name                     |http://es.dbpedia.org/property/name                    |217358         |
|46   |horario                  |http://es.dbpedia.org/property/horario                 |200821         |
|47   |phylum                   |http://dbpedia.org/ontology/phylum                     |187745         |
|48   |título                   |http://dbpedia.org/property/título                     |187174         |
|49   |populationTotal          |http://dbpedia.org/ontology/populationTotal            |175187         |
|50   |imagen                   |http://es.dbpedia.org/property/imagen                  |168516         |
|51   |activeYearsStartYear     |http://dbpedia.org/ontology/activeYearsStartYear       |156104         |
|52   |starring                 |http://dbpedia.org/ontology/starring                   |155508         |
|53   |familia                  |http://es.dbpedia.org/property/familia                 |146411         |
|54   |ordo                     |http://es.dbpedia.org/property/ordo                    |136535         |
|55   |regnum                   |http://es.dbpedia.org/property/regnum                  |135404         |
|56   |genus                    |http://dbpedia.org/ontology/genus                      |135053         |
|57   |classis                  |http://es.dbpedia.org/property/classis                 |133421         |
|58   |title                    |http://es.dbpedia.org/property/title                   |133130         |
|59   |país                     |http://es.dbpedia.org/property/país                    |130542         |
|60   |genus                    |http://es.dbpedia.org/property/genus                   |129670         |
|61   |imagen                   |http://dbpedia.org/property/imagen                     |128931         |
|62   |año                      |http://es.dbpedia.org/property/año                     |127125         |
|63   |superior                 |http://es.dbpedia.org/property/superior                |127067         |
|64   |tipoSuperior             |http://dbpedia.org/property/tipoSuperior               |118550         |
|65   |población                |http://es.dbpedia.org/property/población               |114818         |
|66   |region                   |http://dbpedia.org/ontology/region                     |114702         |
|67   |superficie               |http://es.dbpedia.org/property/superficie              |113568         |
|68   |reparto                  |http://es.dbpedia.org/property/reparto                 |112163         |
|69   |areaTotal                |http://dbpedia.org/ontology/areaTotal                  |108328         |
|70   |editorial                |http://es.dbpedia.org/property/editorial               |108146         |
|71   |synonym                  |http://dbpedia.org/ontology/synonym                    |107309         |
|72   |length                   |http://es.dbpedia.org/property/length                  |105727         |
|73   |areaTotal                |http://dbpedia.org/ontology/PopulatedPlace/areaTotal   |104970         |
|74   |phylum                   |http://es.dbpedia.org/property/phylum                  |104608         |
|75   |occupation               |http://dbpedia.org/ontology/occupation                 |104463         |
|76   |binomial                 |http://es.dbpedia.org/property/binomial                |101114         |
|77   |horario                  |http://dbpedia.org/property/horario                    |100349         |
|78   |mapaLoc                  |http://es.dbpedia.org/property/mapaLoc                 |97910          |
|79   |género                   |http://es.dbpedia.org/property/género                  |96581          |
|80   |leaderTitle              |http://dbpedia.org/ontology/leaderTitle                |96046          |
|81   |title                    |http://dbpedia.org/property/title                      |93282          |
|82   |país                     |http://dbpedia.org/property/país                       |93223          |
|83   |estilo                   |http://es.dbpedia.org/property/estilo                  |92439          |
|84   |activeYearsEndYear       |http://dbpedia.org/ontology/activeYearsEndYear         |92329          |
|85   |superficie               |http://dbpedia.org/property/superficie                 |92286          |
|86   |pieMapa                  |http://es.dbpedia.org/property/pieMapa                 |92050          |
|87   |city                     |http://dbpedia.org/ontology/city                       |91903          |
|88   |unidad                   |http://es.dbpedia.org/property/unidad                  |91622          |
|89   |tipo                     |http://es.dbpedia.org/property/tipo                    |90656          |
|90   |longew                   |http://es.dbpedia.org/property/longew                  |89706          |
|91   |longd                    |http://es.dbpedia.org/property/longd                   |89697          |
|92   |latd                     |http://es.dbpedia.org/property/latd                    |89696          |
|93   |latns                    |http://es.dbpedia.org/property/latns                   |89695          |
|94   |latm                     |http://es.dbpedia.org/property/latm                    |89498          |
|95   |longm                    |http://es.dbpedia.org/property/longm                   |89488          |
|96   |mapa                     |http://es.dbpedia.org/property/mapa                    |89231          |
|97   |deathPlace               |http://dbpedia.org/ontology/deathPlace                 |89222          |
|98   |species                  |http://es.dbpedia.org/property/species                 |88993          |
|99   |año                      |http://dbpedia.org/property/año                        |86485          |
|100  |cp                       |http://es.dbpedia.org/property/cp                      |86174          |
|101  |type                     |http://dbpedia.org/ontology/type                       |86168          |
|102  |binomialAuthority        |http://es.dbpedia.org/property/binomialAuthority       |84769          |
|103  |recordLabel              |http://dbpedia.org/ontology/recordLabel                |84687          |
|104  |poblaciónAño             |http://es.dbpedia.org/property/poblaciónAño            |84623          |
|105  |name                     |http://dbpedia.org/property/name                       |84453          |
|106  |población                |http://dbpedia.org/property/población                  |83975          |
|107  |binomialAuthority        |http://dbpedia.org/ontology/binomialAuthority          |83667          |
|108  |lats                     |http://es.dbpedia.org/property/lats                    |82425          |
|109  |longs                    |http://es.dbpedia.org/property/longs                   |82416          |
|110  |length                   |http://dbpedia.org/property/length                     |81433          |
|111  |minimumElevation         |http://dbpedia.org/ontology/minimumElevation           |80717          |
|112  |combatant                |http://dbpedia.org/ontology/combatant                  |80588          |
|113  |ocupación                |http://es.dbpedia.org/property/ocupación               |80459          |
|114  |pieMapa                  |http://dbpedia.org/property/pieMapa                    |78430          |
|115  |number                   |http://dbpedia.org/ontology/number                     |78153          |
|116  |nombreOficial            |http://es.dbpedia.org/property/nombreOficial           |76572          |
|117  |cp                       |http://dbpedia.org/property/cp                         |75937          |
|118  |department               |http://dbpedia.org/ontology/department                 |75123          |
|119  |arrondissement           |http://dbpedia.org/ontology/arrondissement             |74707          |
|120  |related                  |http://www.w3.org/2004/02/skos/core#related            |74541          |
|121  |conservationStatus       |http://dbpedia.org/ontology/conservationStatus         |73751          |
|122  |superior                 |http://dbpedia.org/property/superior                   |73448          |
|123  |inseeCode                |http://dbpedia.org/ontology/inseeCode                  |72975          |
|124  |mapa                     |http://dbpedia.org/property/mapa                       |72642          |
|125  |predecesor               |http://es.dbpedia.org/property/predecesor              |71836          |
|126  |url                      |http://es.dbpedia.org/property/url                     |71677          |
|127  |sucesor                  |http://es.dbpedia.org/property/sucesor                 |70361          |
|128  |editorial                |http://dbpedia.org/property/editorial                  |69765          |
|129  |densidad                 |http://es.dbpedia.org/property/densidad                |69033          |
|130  |mapaLoc                  |http://dbpedia.org/property/mapaLoc                    |68503          |
|131  |tamañoMapa               |http://es.dbpedia.org/property/tamañoMapa              |67952          |
|132  |maximumElevation         |http://dbpedia.org/ontology/maximumElevation           |67622          |
|133  |familia                  |http://dbpedia.org/property/familia                    |67519          |
|134  |wikiPageInterLanguageLink|http://dbpedia.org/ontology/wikiPageInterLanguageLink  |67070          |
|135  |no                       |http://es.dbpedia.org/property/no                      |66704          |
|136  |regnum                   |http://dbpedia.org/property/regnum                     |64541          |
